rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0386.jpg,154.4,0.5559,0.6407,0.625,0.24,7,5,False,False
77,frame_0129.jpg,51.6,0.5558,0.6846,0.125,0.88,5,1,False,False
78,frame_0111.jpg,44.4,0.5548,0.9706,0.125,0.16,2,1,False,False
79,frame_0210.jpg,84.0,0.5546,0.6123,0.375,0.68,3,3,False,False
80,frame_0011.jpg,4.4,0.5522,0.5543,0.25,1.0,4,2,False,False
81,frame_0289.jpg,115.6,0.5495,0.645,0.25,0.76,5,2,False,False
82,frame_0123.jpg,49.2,0.547,0.763,0.125,0.64,6,1,False,False
83,frame_0105.jpg,42.0,0.5465,0.761,0.5,0.08,7,4,False,False
84,frame_0278.jpg,111.2,0.5444,0.7357,0.375,0.32,8,3,False,False
85,frame_0009.jpg,3.6,0.5441,0.5381,0.25,1.0,2,2,False,False
86,frame_0274.jpg,109.6,0.5437,0.7233,0.5,0.16,6,4,False,False
87,frame_0330.jpg,132.0,0.5417,0.6924,0.625,0.04,9,5,False,False
88,frame_0133.jpg,53.2,0.5405,0.456,0.375,1.0,9,3,False,False
89,frame_0132.jpg,52.8,0.535,0.4449,0.375,1.0,6,3,False,False
90,frame_0298.jpg,119.2,0.5324,0.6908,0.25,0.56,5,2,False,False
91,frame_0390.jpg,156.0,0.532,0.6569,0.625,0.08,8,5,False,False
92,frame_0397.jpg,158.8,0.5295,0.754,0.375,0.2,8,3,False,False
93,frame_0018.jpg,7.2,0.5253,0.5007,0.25,1.0,4,2,False,False
94,frame_0183.jpg,73.2,0.5198,0.7236,0.5,0.04,5,4,False,False
95,frame_0080.jpg,32.0,0.5187,0.4333,0.5,0.76,6,4,False,False
96,frame_0388.jpg,155.2,0.5158,0.5926,0.625,0.16,8,5,False,False
97,frame_0020.jpg,8.0,0.5135,0.477,0.25,1.0,4,2,False,False
98,frame_0267.jpg,106.8,0.5118,0.6006,0.625,0.12,6,5,False,False
99,frame_0230.jpg,92.0,0.5111,0.5991,0.625,0.12,11,5,False,False
100,frame_0006.jpg,2.4,0.511,0.3969,0.375,1.0,4,3,False,False
101,frame_0225.jpg,90.0,0.5098,0.7626,0.375,0.08,7,3,False,False
102,frame_0168.jpg,67.2,0.5089,0.6438,0.25,0.56,6,2,False,False
103,frame_0081.jpg,32.4,0.5079,0.4278,0.5,0.72,7,4,False,False
104,frame_0109.jpg,43.6,0.5066,0.6063,0.625,0.08,7,5,False,False
105,frame_0279.jpg,111.6,0.5029,0.6367,0.375,0.36,6,3,False,False
106,frame_0021.jpg,8.4,0.4998,0.3746,0.375,1.0,6,3,False,False
107,frame_0304.jpg,121.6,0.4951,0.5622,0.5,0.32,6,4,False,False
108,frame_0307.jpg,122.8,0.4945,0.609,0.5,0.2,9,4,False,False
109,frame_0300.jpg,120.0,0.492,0.492,0.5,0.48,8,4,False,False
110,frame_0175.jpg,70.0,0.4905,0.644,0.375,0.28,8,3,False,False
111,frame_0332.jpg,132.8,0.4881,0.6603,0.5,0.04,9,4,False,False
112,frame_0106.jpg,42.4,0.4872,0.5833,0.625,0.04,7,5,False,False
113,frame_0288.jpg,115.2,0.4871,0.5363,0.25,0.72,9,2,False,False
114,frame_0220.jpg,88.0,0.4862,0.6355,0.375,0.28,3,3,False,False
115,frame_0124.jpg,49.6,0.4851,0.6232,0.125,0.68,7,1,False,False
116,frame_0131.jpg,52.4,0.4829,0.4317,0.25,0.96,4,2,False,False
117,frame_0173.jpg,69.2,0.4822,0.5954,0.375,0.36,8,3,False,False
118,frame_0277.jpg,110.8,0.4819,0.4768,0.625,0.28,8,5,False,False
119,frame_0316.jpg,126.4,0.4818,0.5996,0.5,0.16,8,4,False,False
120,frame_0229.jpg,91.6,0.4813,0.5556,0.625,0.08,9,5,False,False
121,frame_0327.jpg,130.8,0.4792,0.7174,0.375,0.04,10,3,False,False
122,frame_0082.jpg,32.8,0.4784,0.4599,0.375,0.68,5,3,False,False
123,frame_0122.jpg,48.8,0.4779,0.5658,0.25,0.6,5,2,False,False
124,frame_0319.jpg,127.6,0.4768,0.4665,0.625,0.28,10,5,False,False
125,frame_0115.jpg,46.0,0.4764,0.5998,0.375,0.32,5,3,False,False
